ppt_id,trial,stimulus,script,lexicality,word_eng,age,language_status,correct_response,response,correct,rt,rt_sec
3,3,chinese_realword_paper.png,chinese,word,paper,18,balanced,word,word,TRUE,683,0.683
3,4,latin_realword_tree.png,latin,word,tree,18,balanced,word,nonword,FALSE,1635,1.635
3,5,latin_nonword_prawn.png,latin,nonword,prawn,18,balanced,nonword,word,FALSE,1033,1.033
3,6,chinese_nonword_pinch.png,chinese,nonword,pinch,18,balanced,nonword,word,FALSE,1500,1.5
3,7,chinese_realword_brain.png,chinese,word,brain,18,balanced,word,word,TRUE,934,0.934
3,8,latin_realword_change.png,latin,word,change,18,balanced,word,word,TRUE,2486,2.486
3,9,chinese_realword_home.png,chinese,word,home,18,balanced,word,word,TRUE,1535,1.535
3,10,chinese_nonword_pat.png,chinese,nonword,pat,18,balanced,nonword,nonword,TRUE,1617,1.617
3,11,latin_realword_good.png,latin,word,good,18,balanced,word,word,TRUE,1835,1.835
3,12,chinese_nonword_wine.png,chinese,nonword,wine,18,balanced,nonword,nonword,TRUE,1435,1.435
3,13,latin_nonword_pearl.png,latin,nonword,pearl,18,balanced,nonword,nonword,TRUE,885,0.885
3,14,latin_nonword_blink.png,latin,nonword,blink,18,balanced,nonword,nonword,TRUE,1485,1.485
3,15,latin_realword_shave.png,latin,word,shave,18,balanced,word,word,TRUE,918,0.918
3,16,latin_realword_island.png,latin,word,island,18,balanced,word,word,TRUE,851,0.851
3,17,latin_realword_praise.png,latin,word,praise,18,balanced,word,nonword,FALSE,1652,1.652
3,18,chinese_nonword_put.png,chinese,nonword,put,18,balanced,nonword,nonword,TRUE,3303,3.303
3,19,latin_realword_milk.png,latin,word,milk,18,balanced,word,word,TRUE,2985,2.985
3,20,latin_nonword_keen.png,latin,nonword,keen,18,balanced,nonword,nonword,TRUE,850,0.85
3,21,latin_nonword_sister.png,latin,nonword,sister,18,balanced,nonword,nonword,TRUE,751,0.751
3,22,latin_nonword_morning.png,latin,nonword,morning,18,balanced,nonword,nonword,TRUE,1919,1.919
3,23,latin_nonword_eat.png,latin,nonword,eat,18,balanced,nonword,nonword,TRUE,933,0.933
3,24,chinese_nonword_medicine.png,chinese,nonword,medicine,18,balanced,nonword,nonword,TRUE,1668,1.668
3,25,chinese_nonword_tea.png,chinese,nonword,tea,18,balanced,nonword,nonword,TRUE,950,0.95
3,26,chinese_realword_feed.png,chinese,word,feed,18,balanced,word,word,TRUE,1068,1.068
3,27,chinese_realword_sisterinlaw.png,chinese,word,sisterinlaw,18,balanced,word,word,TRUE,851,0.851
3,28,chinese_nonword_cat.png,chinese,nonword,cat,18,balanced,nonword,word,FALSE,1051,1.051
3,29,chinese_nonword_flower.png,chinese,nonword,flower,18,balanced,nonword,nonword,TRUE,1785,1.785
3,30,chinese_realword_wet.png,chinese,word,wet,18,balanced,word,word,TRUE,884,0.884
3,31,latin_nonword_grass.png,latin,nonword,grass,18,balanced,nonword,nonword,TRUE,1734,1.734
3,32,latin_nonword_sand.png,latin,nonword,sand,18,balanced,nonword,nonword,TRUE,901,0.901
3,33,latin_realword_robe.png,latin,word,robe,18,balanced,word,word,TRUE,1468,1.468
3,34,chinese_realword_pickaxe.png,chinese,word,pickaxe,18,balanced,word,word,TRUE,4421,4.421
3,35,latin_nonword_wealth.png,latin,nonword,wealth,18,balanced,nonword,nonword,TRUE,1185,1.185
3,36,latin_realword_bag.png,latin,word,bag,18,balanced,word,nonword,FALSE,2752,2.752
3,37,chinese_nonword_sea.png,chinese,nonword,sea,18,balanced,nonword,nonword,TRUE,1167,1.167
3,38,chinese_nonword_invite.png,chinese,nonword,invite,18,balanced,nonword,nonword,TRUE,2434,2.434
3,39,latin_realword_peach.png,latin,word,peach,18,balanced,word,word,TRUE,1885,1.885
3,40,chinese_realword_lean.png,chinese,word,lean,18,balanced,word,nonword,FALSE,2836,2.836
4,1,chinese_nonword_invite.png,chinese,nonword,invite,24,,nonword,nonword,TRUE,2764.5,2.7645
4,2,chinese_realword_lean.png,chinese,word,lean,24,,word,word,TRUE,1251.7000000119206,1.2517000000119205
4,3,latin_nonword_grass.png,latin,nonword,grass,24,,nonword,nonword,TRUE,2393.100000000002,2.3931000000000022
4,4,latin_realword_robe.png,latin,word,robe,24,,word,word,TRUE,1077.800000000003,1.077800000000003
4,5,latin_realword_peach.png,latin,word,peach,24,,word,word,TRUE,1144.9000000000017,1.1449000000000016
4,6,latin_nonword_sand.png,latin,nonword,sand,24,,nonword,word,FALSE,2151.5,2.1515
4,7,latin_nonword_eat.png,latin,nonword,eat,24,,nonword,nonword,TRUE,1319.5000000119217,1.3195000000119217
4,8,chinese_nonword_tea.png,chinese,nonword,tea,24,,nonword,nonword,TRUE,2017.2000000238404,2.0172000000238404
4,9,latin_nonword_wealth.png,latin,nonword,wealth,24,,nonword,nonword,TRUE,2449.5999999999985,2.4495999999999984
4,10,chinese_nonword_flower.png,chinese,nonword,flower,24,,nonword,nonword,TRUE,2875.5000000238433,2.8755000000238433
4,11,latin_realword_bag.png,latin,word,bag,24,,word,word,TRUE,1311.0999999999983,1.3110999999999984
4,12,chinese_nonword_sea.png,chinese,nonword,sea,24,,nonword,nonword,TRUE,4284.5999999999985,4.284599999999998
4,13,latin_nonword_sister.png,latin,nonword,sister,24,,nonword,word,FALSE,1456.5,1.4565
4,14,latin_nonword_morning.png,latin,nonword,morning,24,,nonword,nonword,TRUE,1499.0999999880803,1.4990999999880803
4,15,chinese_realword_pickaxe.png,chinese,word,pickaxe,24,,word,word,TRUE,1218.4000000000017,1.2184000000000017
4,16,chinese_realword_feed.png,chinese,word,feed,24,,word,word,TRUE,1098.0999999761552,1.0980999999761551
4,17,chinese_nonword_medicine.png,chinese,nonword,medicine,24,,nonword,nonword,TRUE,1400.4999999999854,1.4004999999999854
4,18,chinese_nonword_cat.png,chinese,nonword,cat,24,,nonword,word,FALSE,1009.3000000000028,1.0093000000000028
4,19,chinese_realword_sisterinlaw.png,chinese,word,sisterinlaw,24,,word,word,TRUE,989.1000000000058,0.9891000000000059
4,20,chinese_realword_wet.png,chinese,word,wet,24,,word,word,TRUE,859.9000000119267,0.8599000000119268
4,21,chinese_realword_pull.png,chinese,word,pull,24,,word,word,TRUE,865.9000000000087,0.8659000000000088
4,22,chinese_nonword_pat.png,chinese,nonword,pat,24,,nonword,word,FALSE,3961.9000000000087,3.961900000000009
4,23,chinese_realword_scoop.png,chinese,word,scoop,24,,word,word,TRUE,974.1999999999972,0.9741999999999972
4,24,latin_realword_praise.png,latin,word,praise,24,,word,nonword,FALSE,1234.1999999999823,1.2341999999999822
4,25,latin_nonword_keen.png,latin,nonword,keen,24,,nonword,word,FALSE,2785.199999976161,2.785199999976161
4,26,latin_nonword_prawn.png,latin,nonword,prawn,24,,nonword,word,FALSE,3014.199999999997,3.014199999999997
4,27,chinese_nonword_wine.png,chinese,nonword,wine,24,,nonword,nonword,TRUE,1467.4000000000087,1.4674000000000087
4,28,chinese_realword_paper.png,chinese,word,paper,24,,word,word,TRUE,900.6999999999971,0.9006999999999971
4,29,latin_realword_milk.png,latin,word,milk,24,,word,word,TRUE,1540.199999999997,1.5401999999999971
4,30,latin_realword_good.png,latin,word,good,24,,word,word,TRUE,1424.3999999999942,1.4243999999999941
4,31,chinese_nonword_pinch.png,chinese,nonword,pinch,24,,nonword,nonword,TRUE,1850.0999999880733,1.8500999999880732
4,32,latin_realword_shave.png,latin,word,shave,24,,word,word,TRUE,888.199999976161,0.8881999999761611
4,33,chinese_realword_brain.png,chinese,word,brain,24,,word,word,TRUE,955.3999999880762,0.9553999999880761
4,34,latin_nonword_pearl.png,latin,nonword,pearl,24,,nonword,nonword,TRUE,1533.100000023842,1.5331000000238422
4,35,latin_realword_island.png,latin,word,island,24,,word,word,TRUE,1485.499999976164,1.485499999976164
4,36,latin_realword_tree.png,latin,word,tree,24,,word,word,TRUE,908.1000000000058,0.9081000000000058
4,37,chinese_nonword_put.png,chinese,nonword,put,24,,nonword,nonword,TRUE,1550.5999999761698,1.5505999999761697
4,38,latin_nonword_blink.png,latin,nonword,blink,24,,nonword,nonword,TRUE,1406.0999999880733,1.4060999999880732
4,39,latin_realword_change.png,latin,word,change,24,,word,word,TRUE,1322.8000000000177,1.3228000000000177
4,40,chinese_realword_home.png,chinese,word,home,24,,word,word,TRUE,1033,1.033
5,1,latin_nonword_scoop.png,latin,nonword,scoop,22,English-dominant,nonword,nonword,TRUE,865,0.865
5,2,latin_nonword_lean.png,latin,nonword,lean,22,English-dominant,nonword,nonword,TRUE,867,0.867
5,3,chinese_nonword_praise.png,chinese,nonword,praise,22,English-dominant,nonword,nonword,TRUE,2295,2.295
5,4,latin_realword_sand.png,latin,word,sand,22,English-dominant,word,word,TRUE,823,0.823
5,5,chinese_nonword_robe.png,chinese,nonword,robe,22,English-dominant,nonword,word,FALSE,1597,1.597
5,6,chinese_nonword_milk.png,chinese,nonword,milk,22,English-dominant,nonword,word,FALSE,2795,2.795
5,7,latin_realword_prawn.png,latin,word,prawn,22,English-dominant,word,word,TRUE,865,0.865
5,8,latin_nonword_brain.png,latin,nonword,brain,22,English-dominant,nonword,nonword,TRUE,690,0.69
5,9,latin_realword_pearl.png,latin,word,pearl,22,English-dominant,word,word,TRUE,633,0.633
5,10,chinese_realword_cat.png,chinese,word,cat,22,English-dominant,word,word,TRUE,1133,1.133
5,11,latin_nonword_home.png,latin,nonword,home,22,English-dominant,nonword,nonword,TRUE,1755,1.755
5,12,latin_nonword_paper.png,latin,nonword,paper,22,English-dominant,nonword,nonword,TRUE,758,0.758
5,13,latin_nonword_feed.png,latin,nonword,feed,22,English-dominant,nonword,nonword,TRUE,2130,2.13
5,14,latin_nonword_pull.png,latin,nonword,pull,22,English-dominant,nonword,nonword,TRUE,733,0.733
5,15,latin_realword_blink.png,latin,word,blink,22,English-dominant,word,word,TRUE,599,0.599
5,16,chinese_nonword_shave.png,chinese,nonword,shave,22,English-dominant,nonword,word,FALSE,1089,1.089
5,17,latin_nonword_wet.png,latin,nonword,wet,22,English-dominant,nonword,nonword,TRUE,790,0.79
5,18,chinese_nonword_good.png,chinese,nonword,good,22,English-dominant,nonword,word,FALSE,767,0.767
5,19,latin_nonword_sisterinlaw.png,latin,nonword,sisterinlaw,22,English-dominant,nonword,nonword,TRUE,599,0.599
5,20,chinese_realword_pat.png,chinese,word,pat,22,English-dominant,word,word,TRUE,633,0.633
5,21,latin_realword_sister.png,latin,word,sister,22,English-dominant,word,word,TRUE,757,0.757
5,22,latin_realword_morning.png,latin,word,morning,22,English-dominant,word,word,TRUE,624,0.624
